date,vehicle_gps_latitude,vehicle_gps_longitude,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,weather_condition_severity,port_congestion_level,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,disruption_likelihood_score,delay_probability,delivery_time_deviation,handling_equipment_availability,order_fulfillment_status,cargo_condition_status,daily_shipment_count
2021-01-01,36.85129659339696,-86.65679521034012,6.658841573756931,3.0463600846964742,5.297886006115596,301.57680286591903,2.5405947407805405,0.48558884833431565,6.050231728410163,400.0389481166191,0.5138343438007552,5.7790303055557315,6087.738443575557,3.661446515938039,6.777202467400895,2.235945597099309,0.40449735499008854,0.7425198469784231,0.8558603676264687,0.6590139073207576,5.629205087510576,0.16666666666666666,0.625,0.25,24
2021-01-02,37.93986113488254,-81.8699409820427,7.252002212801126,2.913967230574046,4.753499693647892,371.42176285846375,2.3212802011001115,0.488633597710135,5.507312535701227,565.6353879487974,0.4493548512060524,5.994781539931263,7514.016378700799,3.2005483144562645,7.373138074175945,1.8802676935288545,0.456960748264952,0.555703893598903,0.9198676590223585,0.7387761583567043,5.897185146320045,0.20833333333333334,0.625,0.25,24
2021-01-03,38.97187335827082,-90.91696305011135,7.48980656467069,2.957138504319243,5.374530767388251,255.95038652648478,2.642498810009616,0.4948530004449278,6.99345136051049,487.5339878213815,0.46231849861462,5.020294679513654,6291.804184483893,-2.2033993744375215,6.605774161030699,1.840276895557045,0.3848529608750459,0.6007873771358928,0.852160025322508,0.7273365878010486,5.165199980439907,0.25,0.6666666666666666,0.3333333333333333,24
2021-01-04,39.040123080112544,-88.73921088267407,7.57862393485129,2.4904287799414786,5.349756680634357,341.890746789948,2.551932503780949,0.5273646163760167,6.20644053867268,343.1791542735012,0.6565525629298885,3.6998456949779395,5355.534489155517,-1.0779524053316305,6.346819270553141,2.496737971269155,0.5355369592992155,0.5698911973660568,0.7309246442469478,0.7311746820743225,5.4781820879094765,0.20833333333333334,0.5833333333333334,0.16666666666666666,24
2021-01-05,39.503442212309885,-91.38718514185182,7.619207010946398,2.8367371975904967,5.02453806820757,288.2921705075933,1.9026549008159404,0.5013930240694449,7.805845677270319,382.9740450713557,0.39938944421394446,5.169301338528419,6492.383312944069,-1.6183745333394988,6.959716444827323,2.3367038843958796,0.48714531916725795,0.6018318725641808,0.7885257942004745,0.5682788781593082,4.6985792273624325,0.3333333333333333,0.7083333333333334,0.375,24
2021-01-06,36.92178455846589,-95.02094294078613,6.250597256344051,3.36776971836828,3.9350926404424,395.98490142803695,1.9634402967495808,0.5359517848026586,6.882337270885003,474.56958163153644,0.5772107037440452,6.221646921319419,5466.368149099696,-5.095928795593531,7.933674777568769,2.3471431346041975,0.5278622755492087,0.6122948323818099,0.7829688559141298,0.6871736331175518,4.284443771095372,0.20833333333333334,0.5833333333333334,0.3333333333333333,24
2021-01-07,37.054182542648086,-89.86986494917272,7.8743330227962955,2.9727815078223276,5.166074227306628,278.267383383227,2.5741228932627664,0.4923170162290799,7.483801929864174,375.522982402083,0.562546302160392,6.636286332634314,6175.273027560157,-0.6184261002793073,8.108582736433512,1.6839441997989846,0.6405346952894045,0.5795625151935945,0.7517340382041523,0.7852607555460414,5.598643053096808,0.4583333333333333,0.625,0.16666666666666666,24
2021-01-08,34.32625249975606,-84.9825930846769,8.987453123787182,3.3972381148411,5.23357466225636,242.10192900763835,2.1301001832640223,0.48785813191225663,7.157577255482067,576.0898281667845,0.4083947188528925,5.291358881555574,6964.903432011891,1.3548096259588647,6.92198707739454,3.031767047279915,0.4246271394841441,0.595294339639955,0.8075924956984849,0.6800712716162761,4.867200086805739,0.20833333333333334,0.5,0.25,24
2021-01-09,39.93570957628952,-87.26886918372031,7.050652197314093,3.1717942430985118,5.06594647358976,375.98869040136634,2.136747880683155,0.5034357503786242,7.825718122828107,469.60981917055864,0.4934176089613767,5.779093178466131,5849.562652849277,3.288647879287158,5.717962758750683,2.56386682666006,0.590574340682475,0.675640963474723,0.7614613795833356,0.6932239117762068,6.862973092047675,0.20833333333333334,0.6666666666666666,0.375,24
2021-01-10,36.228329802420724,-90.16977239926264,9.313853384447162,3.0681740081094127,5.717330690134832,201.33676725638824,2.508912394801894,0.48164101586710023,7.724113619498624,450.7302085031128,0.6068954994612497,4.939747364449853,5715.208541149567,0.7367331294306904,6.066803610117748,2.2136763728992626,0.5496747320077334,0.609339972624506,0.8770509156358884,0.6816887382480026,4.76130896460439,0.25,0.875,0.25,24
